 # k-point   energies(eV)                          k-distance(1/A)  k-vectors(1/A)
    1 -9.53783069 -9.46128902  8.72428902 10.31883069  0.000  0.000  0.000
    2 -9.53780989 -9.46126756  8.72427010 10.31880736  0.000  0.002  0.000
    3 -9.53774528 -9.46120087  8.72421129 10.31873486  0.002  0.004  0.000
    4 -9.53763908 -9.46109125  8.72411462 10.31861571  0.004  0.006  0.000
    5 -9.53748907 -9.46093640  8.72397808 10.31844739  0.006  0.009  0.000
    6 -9.53729746 -9.46073863  8.72380368 10.31823241  0.009  0.011  0.000
    7 -9.53706204 -9.46049562  8.72358939 10.31796827  0.011  0.013  0.000
    8 -9.53678503 -9.46020969  8.72333726 10.31765746  0.013  0.015  0.000
    9 -9.53646420 -9.45987853  8.72304524 10.31729750  0.015  0.017  0.000
   10 -9.53610178 -9.45950445  8.72271536 10.31689087  0.017  0.019  0.000
   11 -9.53569629 -9.45908590  8.72234628 10.31643591  0.019  0.021  0.000
   12 -9.53524773 -9.45862289  8.72193800 10.31593263  0.021  0.023  0.000
   13 -9.53475609 -9.45811542  8.72149050 10.31538101  0.023  0.026  0.000
   14 -9.53422286 -9.45756502  8.72100515 10.31478273  0.026  0.028  0.000
   15 -9.53364656 -9.45697017  8.72048060 10.31413613  0.028  0.030  0.000
   16 -9.53302719 -9.45633085  8.71991684 10.31344119  0.030  0.032  0.000
   17 -9.53236622 -9.45564860  8.71931523 10.31269959  0.032  0.034  0.000
   18 -9.53166218 -9.45492189  8.71867440 10.31190967  0.034  0.036  0.000
   19 -9.53091507 -9.45415072  8.71799438 10.31107141  0.036  0.038  0.000
   20 -9.53012489 -9.45333509  8.71727514 10.31018483  0.038  0.040  0.000
   21 -9.52929311 -9.45247653  8.71651806 10.30925158  0.040  0.043  0.000
   22 -9.52841826 -9.45157351  8.71572176 10.30827001  0.043  0.045  0.000
   23 -9.52750034 -9.45062603  8.71488626 10.30724011  0.045  0.047  0.000
   24 -9.52654083 -9.44963562  8.71401291 10.30616354  0.047  0.049  0.000
   25 -9.52553750 -9.44859998  8.71309967 10.30503781  0.049  0.051  0.000
   26 -9.52449258 -9.44752142  8.71214858 10.30386542  0.051  0.053  0.000
   27 -9.52340385 -9.44639763  8.71115760 10.30264387  0.053  0.055  0.000
   28 -9.52227353 -9.44523091  8.71012878 10.30137566  0.055  0.057  0.000
